name,team,year,position,phase,level,win,loss,tie
Bill Walsh,San Francisco 49ers,1979,Head Coach,Head,Head,2.0,14.0,0.0
Dick Nolan,New Orleans Saints,1980,Head Coach,Head,Head,1.0,15.0,0.0
Dennis Green,San Francisco 49ers,1979,Receivers/Special Teams/Running Backs,Offense,Coordinator,2.0,14.0,0.0
Bill McPherson,San Francisco 49ers,1979,Linebackers,Defense,Positional,2.0,14.0,0.0
Dick Stanfel,New Orleans Saints,1980,Offensive Line/Head Coach,Head,Head,1.0,15.0,0.0
Dick Stanfel,New Orleans Saints,1980,Offensive Line/Interim Head Coach,Head,Head,1.0,15.0,0.0
Mike White,San Francisco 49ers,1979,Offensive Line,Offense,Positional,2.0,14.0,0.0
Sam Wyche,San Francisco 49ers,1979,Quarterbacks,Offense,Positional,2.0,14.0,0.0
Ed Hughes,New Orleans Saints,1980,Offensive Assistant,Offense,Positional,1.0,15.0,0.0
Nick Nicolau,New Orleans Saints,1980,Offensive Backfield/Running Backs,Offense,Positional,1.0,15.0,0.0
Pete McCulley,San Francisco 49ers,1978,Head Coach,Head,Head,2.0,14.0,0.0
Fred O'Connor,San Francisco 49ers,1978,Head Coach,Head,Head,2.0,14.0,0.0
Frank Gansz,San Francisco 49ers,1978,Special Teams/Tight Ends,Offense,Coordinator,2.0,14.0,0.0
Les Steckel,San Francisco 49ers,1978,Receivers/Wide Receivers,Offense,Positional,2.0,14.0,0.0
Mike White,San Francisco 49ers,1978,Offensive Line,Offense,Positional,2.0,14.0,0.0
Hank Stram,New Orleans Saints,1977,Head Coach,Head,Head,3.0,11.0,0.0
Jim Garrett,New Orleans Saints,1977,Assistant Coach/Defensive Backfield,Defense,Positional,3.0,11.0,0.0
Rich Kotite,New Orleans Saints,1977,Quality Control/Tight Ends,Offense,Positional,3.0,11.0,0.0
Dick Nolan,New Orleans Saints,1977,Linebackers,Defense,Positional,3.0,11.0,0.0
Sam Rutigliano,New Orleans Saints,1977,Wide Receivers Coach/Receivers,Offense,Positional,3.0,11.0,0.0
Dick Stanfel,New Orleans Saints,1977,Offensive Line,Offense,Positional,3.0,11.0,0.0
Dick Wood,New Orleans Saints,1977,Quarterbacks,Offense,Positional,3.0,11.0,0.0
Jack Patera,Seattle Seahawks,1976,Head Coach,Head,Head,2.0,12.0,0.0
Ernie Hefferle,New Orleans Saints,1975,Head Coach - /Head Coach,Head,Head,2.0,12.0,0.0
John North,New Orleans Saints,1975,Head Coach,Head,Head,2.0,12.0,0.0
Doug Shivley,New Orleans Saints,1975,Linebackers,Defense,Positional,2.0,12.0,0.0
Marion Campbell,Atlanta Falcons,1974,Head Coach/Head Defensive,Head,Head,3.0,11.0,0.0
Norm Van Brocklin,Atlanta Falcons,1974,Head Coach,Head,Head,3.0,11.0,0.0
