link,loss,name,position,team,tie,win,year
/coaches/WalsBi0.htm,14,Bill Walsh,Coach,San Francisco 49ers,0,2,1979
/coaches/StudCh0.htm,14,Chuck Studley,Defensive Coordinator,San Francisco 49ers,0,2,1979
/coaches/NolaDi0.htm,12,Dick Nolan,Coach,New Orleans Saints,0,0,1980
/coaches/GreeDe0.htm,14,Dennis Green,Running Backs/Special Teams,San Francisco 49ers,0,2,1979
/coaches/McPhBi0.htm,14,Bill McPherson,Linebackers,San Francisco 49ers,0,2,1979
/coaches/StanDi0.htm,3,Dick Stanfel,Coach,New Orleans Saints,0,1,1980
/coaches/WhitMi0.htm,14,Mike White,Offensive Line,San Francisco 49ers,0,2,1979
/coaches/WychSa0.htm,14,Sam Wyche,Quarterbacks,San Francisco 49ers,0,2,1979
/coaches/StanDi0.htm,3,Dick Stanfel,Offensive Coordinator,New Orleans Saints,0,1,1980
/coaches/HughEd0.htm,3,Ed Hughes,Offensive Assistant,New Orleans Saints,0,1,1980
/coaches/NicoNi0.htm,3,Nick Nicolau,Running Backs,New Orleans Saints,0,1,1980
/coaches/StanDi0.htm,3,Dick Stanfel,Offensive Line/Interim Head Coach,New Orleans Saints,0,1,1980
/coaches/McCuPe0.htm,8,Pete McCulley,Coach,San Francisco 49ers,0,1,1978
/coaches/OConFr0.htm,6,Fred O'Connor,Coach,San Francisco 49ers,0,1,1978
/coaches/GanzFr0.htm,6,Frank Gansz,Special Teams/Tight Ends,San Francisco 49ers,0,1,1978
/coaches/StecLe0.htm,6,Les Steckel,Wide Receivers,San Francisco 49ers,0,1,1978
/coaches/WhitMi0.htm,6,Mike White,Offensive Line,San Francisco 49ers,0,1,1978
/coaches/StraHa0.htm,11,Hank Stram,Coach,New Orleans Saints,0,3,1977
/coaches/GarrJi0.htm,11,Jim Garrett,Assistant Coach,New Orleans Saints,0,3,1977
/coaches/KotiRi0.htm,11,Rich Kotite,Tight Ends,New Orleans Saints,0,3,1977
/coaches/NolaDi0.htm,11,Dick Nolan,Linebackers,New Orleans Saints,0,3,1977
/coaches/RutiSa0.htm,11,Sam Rutigliano,Wide Receivers Coach,New Orleans Saints,0,3,1977
/coaches/StanDi0.htm,11,Dick Stanfel,Offensive Line,New Orleans Saints,0,3,1977
/coaches/WoodDi0.htm,11,Dick Wood,Quarterbacks,New Orleans Saints,0,3,1977
/coaches/PateJa0.htm,12,Jack Patera,Coach,Seattle Seahawks,0,2,1976
/coaches/BoghSa0.htm,12,Sam Boghosian,Offensive Coordinator,Seattle Seahawks,0,2,1976
/coaches/HollBo0.htm,12,Bob Hollway,Defensive Coordinator,Seattle Seahawks,0,2,1976
/coaches/HeffEr0.htm,7,Ernie Hefferle,Coach,New Orleans Saints,0,1,1975
/coaches/NortJo0.htm,5,John North,Coach,New Orleans Saints,0,1,1975
/coaches/ShivDo0.htm,5,Doug Shivley,Linebackers,New Orleans Saints,0,1,1975
/coaches/CampMa0.htm,5,Marion Campbell,Coach,Atlanta Falcons,0,1,1974
/coaches/VanBNo0.htm,6,Norm Van Brocklin,Coach,Atlanta Falcons,0,2,1974
/coaches/CampMa0.htm,6,Marion Campbell,Defensive Coordinator,Atlanta Falcons,0,2,1974
/coaches/BrunFr0.htm,6,Fred Bruney,Defensive Backs,Atlanta Falcons,0,2,1974
/coaches/GilmHa0.htm,6,Harry Gilmer,Assistant Coach,Atlanta Falcons,0,2,1974
/coaches/GranBu0.htm,8,Bud Grant,Coach,Minnesota Vikings,3,3,1967
/coaches/HollBo0.htm,8,Bob Hollway,Defensive Line,Minnesota Vikings,3,3,1967
/coaches/RobeJ.0.htm,8,J.D. Roberts,Coach,New Orleans Saints,2,4,1971
/coaches/BrowPa0.htm,9,Paul Brown,Coach,Cincinnati Bengals,1,4,1969
/coaches/BassTo0.htm,9,Tom Bass,Defensive Coordinator,Cincinnati Bengals,1,4,1969
/coaches/JohnBi0.htm,9,Bill Johnson,Offensive Line,Cincinnati Bengals,1,4,1969
/coaches/WalsBi0.htm,9,Bill Walsh,Wide Receivers,Cincinnati Bengals,1,4,1969
/coaches/SabaLo0.htm,8,Lou Saban,Coach,Denver Broncos,1,5,1969
/coaches/CollJo0.htm,8,Joe Collier,Defensive Backs,Denver Broncos,1,5,1969
/coaches/McPhDi0.htm,8,Dick MacPherson,Assistant Coach,Denver Broncos,1,5,1969
/coaches/RutiSa0.htm,8,Sam Rutigliano,Wide Receivers Coach,Denver Broncos,1,5,1969
/coaches/GilmHa0.htm,9,Harry Gilmer,Coach,Detroit Lions,1,4,1966
/coaches/BaugSa0.htm,9,Sammy Baugh,Assistant Coach,Detroit Lions,1,4,1966
/coaches/NortJo0.htm,9,John North,Receivers,Detroit Lions,1,4,1966
/coaches/RymkLo0.htm,9,Lou Rymkus,Offensive Line,Detroit Lions,1,4,1966
/coaches/SchmJo0.htm,9,Joe Schmidt,Assistant Coach,Detroit Lions,1,4,1966
/coaches/WilkSt0.htm,13,Steve Wilks,Coach,Arizona Cardinals,0,3,2018
/coaches/LeftBy0.htm,13,Byron Leftwich,Offensive Coordinator,Arizona Cardinals,0,3,2018
/coaches/McCoMi1.htm,13,Mike McCoy,Offensive Coordinator,Arizona Cardinals,0,3,2018
/coaches/HolcAl0.htm,13,Al Holcomb,Defensive Coordinator,Arizona Cardinals,0,3,2018
/coaches/MichJa0.htm,13,Jason Michael,Tight Ends,Arizona Cardinals,0,3,2018
/coaches/RobeJ.0.htm,11,J.D. Roberts,Coach,New Orleans Saints,1,2,1972
/coaches/FearTo0.htm,5,Tom Fears,Coach,New Orleans Saints,1,1,1970
/coaches/RobeJ.0.htm,6,J.D. Roberts,Coach,New Orleans Saints,0,1,1970
/coaches/BileEd0.htm,6,Ed Biles,Assistant Coach,New Orleans Saints,0,1,1970
/coaches/KhayEd0.htm,6,Ed Khayat,Defensive Line,New Orleans Saints,0,1,1970
/coaches/VanBNo0.htm,8,Norm Van Brocklin,Coach,Atlanta Falcons,2,4,1970
/coaches/CampMa0.htm,8,Marion Campbell,Defensive Coordinator,Atlanta Falcons,2,4,1970
/coaches/BrunFr0.htm,8,Fred Bruney,Defensive Backs,Atlanta Falcons,2,4,1970
/coaches/GilmHa0.htm,8,Harry Gilmer,Assistant Coach,Atlanta Falcons,2,4,1970
/coaches/AlleGe0.htm,4,George Allen,Coach,Los Angeles Rams,1,9,1970
/coaches/CatlTo0.htm,4,Tom Catlin,Linebackers,Los Angeles Rams,1,9,1970
/coaches/LevyMa0.htm,4,Marv Levy,Special Teams,Los Angeles Rams,1,9,1970
/coaches/MarcTe0.htm,4,Ted Marchibroda,Offensive Backs,Los Angeles Rams,1,9,1970
/coaches/NortJo0.htm,9,John North,Coach,New Orleans Saints,0,5,1973
/coaches/DoolJi0.htm,13,Jim Dooley,Coach,Chicago Bears,0,1,1969
/coaches/GibrAb0.htm,13,Abe Gibron,Defensive Line,Chicago Bears,0,1,1969
/coaches/BengPh0.htm,6,Phil Bengtson,Coach,Green Bay Packers,0,8,1969
/coaches/BratZe0.htm,6,Zeke Bratkowski,Assistant,Green Bay Packers,0,8,1969
/coaches/HannDa0.htm,6,Dave Hanner,Defensive Line,Green Bay Packers,0,8,1969
/coaches/SchnBo0.htm,6,Bob Schnelker,Assistant,Green Bay Packers,0,8,1969
/coaches/SchmJo0.htm,4,Joe Schmidt,Coach,Detroit Lions,1,9,1969
/coaches/McPeBi0.htm,4,Bill McPeak,Offensive Coordinator,Detroit Lions,1,9,1969
/coaches/KnoxCh0.htm,4,Chuck Knox,Offensive Line,Detroit Lions,1,9,1969
/coaches/NortJo0.htm,4,John North,Receivers,Detroit Lions,1,9,1969
/coaches/NolaDi0.htm,8,Dick Nolan,Coach,San Francisco 49ers,2,4,1969
/coaches/HoloMi0.htm,8,Mike Holovak,Offensive Backfield,San Francisco 49ers,2,4,1969
/coaches/HughEd0.htm,8,Ed Hughes,Offensive Coach,San Francisco 49ers,2,4,1969
/coaches/ShofJi0.htm,8,Jim Shofner,Defensive Backs,San Francisco 49ers,2,4,1969
/coaches/WiggPa0.htm,8,Paul Wiggin,Defensive Line,San Francisco 49ers,2,4,1969
/coaches/GranBu0.htm,2,Bud Grant,Coach,Minnesota Vikings,0,12,1969
/coaches/BurnJe0.htm,2,Jerry Burns,Offensive Coordinator,Minnesota Vikings,0,12,1969
/coaches/HollBo0.htm,2,Bob Hollway,Defensive Coordinator,Minnesota Vikings,0,12,1969
/coaches/PateJa0.htm,2,Jack Patera,Defensive Line,Minnesota Vikings,0,12,1969
/coaches/VanBNo0.htm,8,Norm Van Brocklin,Coach,Atlanta Falcons,0,6,1969
/coaches/CampMa0.htm,8,Marion Campbell,Defensive Coordinator,Atlanta Falcons,0,6,1969
/coaches/BrunFr0.htm,8,Fred Bruney,Defensive Backs,Atlanta Falcons,0,6,1969
/coaches/ShulDo0.htm,5,Don Shula,Coach,Baltimore Colts,1,8,1969
/coaches/ArnsBi0.htm,5,Bill Arnsparger,Defensive Line,Baltimore Colts,1,8,1969
/coaches/McCaDo0.htm,5,Don McCafferty,Offensive Backfield,Baltimore Colts,1,8,1969
/coaches/AlleGe0.htm,3,George Allen,Coach,Los Angeles Rams,0,11,1969
