name,team,year,position_w
George Dickson,Atlanta Falcons,1966,Offensive Backfield
Brad Ecklund,Atlanta Falcons,1966,Offensive Line
Hal Herring,Atlanta Falcons,1966,Chief Defensive
John Symank,Atlanta Falcons,1966,Defensive Backfield
Dick Bielski,Baltimore Colts,1966,Receivers/Offensive Ends
John Sandusky,Baltimore Colts,1966,Offensive Line
Art Spinney,Boston Patriots,1966,Offensive Line
Jesse Richardson,Boston Patriots,1966,Defensive Line
Rommie Loudd,Boston Patriots,1966,Linebackers
Chuck Weber,Boston Patriots,1966,Defensive Backfield/Defensive Line
Jerry Smith,Buffalo Bills,1966,Offensive Line
Dub Jones,Cleveland Browns,1966,Quarterbacks/Running Backs
Fritz Heisler,Cleveland Browns,1966,Offensive Guards
Ed Ulinski,Cleveland Browns,1966,Offensive Tackles/Linebackers
Bob Nussbaumer,Cleveland Browns,1966,Offensive Backfield And Ends
Leo Murphy,Cleveland Browns,1966,Athletic Trainer
Doak Walker,Denver Broncos,1966,Special Assignments
Bob Griffin,Denver Broncos,1966,Assistant
Bus Mertes,Denver Broncos,1966,Offensive Backs
Dale Dodrill,Denver Broncos,1966,Defensive Line
Marv Matuszak,Denver Broncos,1966,Defensive Backfield
John Idzik,Miami Dolphins,1966,Offensive Backs
Bobby Walston,Miami Dolphins,1966,Receivers/Kicking
Ernie Hefferle,Miami Dolphins,1966,Offensive Line
Les Bingaman,Miami Dolphins,1966,Defensive Line
Bob Pellegrini,Miami Dolphins,1966,Linebackers
Tom Keane,Miami Dolphins,1966,Defensive Backs
Bill Crutchfield,Atlanta Falcons,1967,Offensive Backfield
Lew Carpenter,Atlanta Falcons,1967,Receivers
Brad Ecklund,Atlanta Falcons,1967,Offensive Line
Bob Fry,Atlanta Falcons,1967,Assistant Offensive Line
Hal Herring,Atlanta Falcons,1967,Chief Defensive
John Symank,Atlanta Falcons,1967,Defensive Backfield
Dick Bielski,Baltimore Colts,1967,Receivers/Offensive Ends
John Sandusky,Baltimore Colts,1967,Offensive Line
Art Spinney,Boston Patriots,1967,Offensive Line
Jesse Richardson,Boston Patriots,1967,Defensive Line
Rommie Loudd,Boston Patriots,1967,Linebackers
Chuck Weber,Boston Patriots,1967,Defensive Backfield/Defensive Line
Jerry Smith,Buffalo Bills,1967,Offensive Line
Dub Jones,Cleveland Browns,1967,Quarterbacks/Running Backs
Fritz Heisler,Cleveland Browns,1967,Offensive Guards
Ed Ulinski,Cleveland Browns,1967,Offensive Tackles/Linebackers
Bob Nussbaumer,Cleveland Browns,1967,Offensive Backfield And Ends
Leo Murphy,Cleveland Browns,1967,Athletic Trainer
Hunter Enis,Denver Broncos,1967,Offensive Backs
Whitey Dovell,Denver Broncos,1967,Offensive Line
Stan Jones,Denver Broncos,1967,Defensive Line
John Idzik,Miami Dolphins,1967,Offensive Backs
Bobby Walston,Miami Dolphins,1967,Receivers/Kicking
Ernie Hefferle,Miami Dolphins,1967,Offensive Line
Les Bingaman,Miami Dolphins,1967,Defensive Line
Bob Pellegrini,Miami Dolphins,1967,Linebackers
Tom Keane,Miami Dolphins,1967,Defensive Backs
Cyril Nelson,New Orleans Saints,1967,Comptroller
George Dickson,New Orleans Saints,1967,Chief Offensive
Walt Yowarsky,New Orleans Saints,1967,Offensive Line
Bob Shaw,New Orleans Saints,1967,Receiver
J D Roberts,New Orleans Saints,1967,Linebacker
Bill Cuthbertson,New Orleans Saints,1967,Assistant Trainer
Lew Carpenter,Atlanta Falcons,1968,Chief Offensive
Jim Phillips,Atlanta Falcons,1968,Receivers
Bob Fry,Atlanta Falcons,1968,Offensive Line
Hal Herring,Atlanta Falcons,1968,Chief Defensive
Bill Jobko,Atlanta Falcons,1968,Linebackers
John Symank,Atlanta Falcons,1968,Defensive Backfield
Dick Bielski,Baltimore Colts,1968,Receivers/Offensive Ends
John Sandusky,Baltimore Colts,1968,Offensive Line
Tom Yewcic,Boston Patriots,1968,Offensive Backfield
Art Spinney,Boston Patriots,1968,Offensive Line
Jesse Richardson,Boston Patriots,1968,Defensive Line
Claude Gibson,Boston Patriots,1968,Defensive Backfield
Fritz Heisler,Cleveland Browns,1968,Offensive Line
Bob Nussbaumer,Cleveland Browns,1968,Receivers
Dick Modzelewski,Cleveland Browns,1968,Defensive Line
